start time,end time,delta time
4572,10769,6197.0
11613,15383,3770.0
16007,18380,2373.0
19200,20116,916.0
20151016 _ SX3 _  135950,4,
0,5376,5376.0
6335,8487,2152.0
8756,12370,3614.0
13455,19223,5768.0
20151016 _ SX3 _  193555,4,
488,5794,5306.0
7628,8344,716.0
9401,9879,478.0
10740,11110,370.0
20151017 _ SX3 _  081334,4,
5486,6109,623.0
7194,12539,5345.0
13591,17496,3905.0
17586,19944,2358.0
20151017 _ SX3 _  134938,5,
2309,5449,3140.0
5833,8509,2676.0
9426,14829,5403.0
14927,15113,186.0
15665,20109,4444.0
20151017 _ SX3 _  192543,5,
0,1505,1505.0
2367,8236,5869.0
9253,9902,649.0
11427,11850,423.0
12668,13008,340.0
20151021 _ SX3 _  084133,3,
2936,3495,559.0
5315,10651,5336.0
12529,18268,5739.0
20151021 _ SX3 _  141738,5,
550,3795,3245.0
4195,6870,2675.0
7936,13427,5491.0
14657,15314,657.0
15533,20109,4576.0
20151021 _ SX3 _  195343,5,
0,705,705.0
2175,7535,5360.0
8824,9705,881.0
11621,11950,329.0
12904,13128,224.0
20151022 _ SX3 _  072938,3,
5971,6613,642.0
7695,14115,6420.0
14827,20109,5282.0
20151022 _ SX3 _  130543,3,
0,828,828.0
1695,7268,5573.0
8036,13701,5665.0
20151029 _ SX3 _  082408,4,
2941,3576,635.0
4804,9805,5001.0
10119,11488,1369.0
13438,19382,5944.0
20151029 _ SX3 _  140012,4,
1100,4846,3746.0
5119,7839,2720.0
9588,14976,5388.0
15854,20083,4229.0
20151029 _ SX3 _  193617,5,
0,1761,1761.0
3151,8824,5673.0
10111,10878,767.0
13832,14177,345.0
15061,15423,362.0
20151030 _ SX3 _  072440,3,
6822,7464,642.0
8176,14435,6259.0
15071,20111,5040.0
20151030 _ SX3 _  130046,4,
0,1115,1115.0
1807,7482,5675.0
8204,13997,5793.0
14686,20117,5431.0
20151030 _ SX3 _  183651,5,
0,286,286.0
1011,6665,5654.0
7906,8587,681.0
9683,10100,417.0
11088,11494,406.0
20151102 _ SX3 _  082656,4,
3496,4136,640.0
5876,11395,5519.0
12747,16731,3984.0
16843,19180,2337.0
20151102 _ SX3 _  140301,3,
1097,7707,6610.0
8581,14283,5702.0
15477,20072,4595.0
20151102 _ SX3 _  193906,5,
0,1639,1639.0
2783,8432,5649.0
9874,10674,800.0
11891,12302,411.0
12845,13206,361.0
20151103 _ SX3 _  082548,5,
2641,3287,646.0
4224,6334,2110.0
7112,7458,346.0
7550,11880,4330.0
13419,19248,5829.0
20151103 _ SX3 _  140153,5,
954,4785,3831.0
5096,7831,2735.0
8904,14348,5444.0
15588,16449,861.0
16579,20124,3545.0
20151103 _ SX3 _  193759,4,
0,1493,1493.0
3069,8466,5397.0
9957,10842,885.0
11891,12462,571.0
20151106 _ SX3 _  082540,4,
3113,3745,632.0
4677,9800,5123.0
10124,11466,1342.0
13470,19233,5763.0
20151106 _ SX3 _  140142,5,
1411,4897,3486.0
5108,7851,2743.0
8891,14387,5496.0
15618,16338,720.0
16599,20113,3514.0
20151106 _ SX3 _  193747,4,
0,1808,1808.0
3045,5152,2107.0
6169,9600,3431.0
10979,11984,1005.0
20151110 _ SX3 _  081953,4,
3672,4244,572.0
5617,11024,5407.0
11707,18040,6333.0
18812,20124,1312.0
20151110 _ SX3 _  135559,4,
0,4195,4195.0
5321,10698,5377.0
11612,16994,5382.0
17847,20130,2283.0
20151110 _ SX3 _  193204,4,
0,3061,3061.0
4116,4777,661.0
13083,13383,300.0
15002,15365,363.0
20151111 _ SX3 _  083631,6,
2549,3171,622.0
4101,5548,1447.0
6385,10787,4402.0
11718,15240,3522.0
15353,17564,2211.0
18556,20102,1546.0
20151111 _ SX3 _  141237,4,
0,4539,4539.0
5326,7551,2225.0
7929,11776,3847.0
14933,20108,5175.0
20151114 _ SX3 _  082519,5,
2667,3318,651.0
4516,5821,1305.0
7146,11488,4342.0
13387,16893,3506.0
16960,19220,2260.0
20151114 _ SX3 _  140124,5,
999,4833,3834.0
5089,7825,2736.0
8801,14312,5511.0
15598,16325,727.0
16602,20095,3493.0
20151115 _ SX3 _  082549,4,
3013,3639,626.0
4931,10728,5797.0
12768,16775,4007.0
16839,19172,2333.0
20151115 _ SX3 _  140154,5,
1533,4750,3217.0
5109,7845,2736.0
8856,14370,5514.0
15657,16372,715.0
16594,20125,3531.0
20151115 _ SX3 _  193759,4,
0,1679,1679.0
3043,8459,5416.0
10051,10751,700.0
16703,17274,571.0
20151117 _ SX3 _  090753,4,
7044,7398,354.0
8251,8364,113.0
8439,8609,170.0
8950,8951,1.0
20151117 _ SX3 _  162127,1,
618,993,375.0
20151118 _ SX3 _  084204,4,
2246,2811,565.0
4109,9901,5792.0
11823,15759,3936.0
15881,18153,2272.0
20151118 _ SX3 _  141809,6,
516,3708,3192.0
4023,6717,2694.0
7936,13346,5410.0
14652,15340,688.0
15591,17501,1910.0
19886,20080,194.0
20151118 _ SX3 _  195414,6,
0,2092,2092.0
2600,3846,1246.0
5108,10472,5364.0
12938,13778,840.0
17490,17888,398.0
18638,18977,339.0
20151121 _ SX3 _  085001,5,
1297,1864,567.0
3179,8337,5158.0
8509,9934,1425.0
12021,15515,3494.0
15618,17731,2113.0
20151121 _ SX3 _  142607,5,
0,2238,2238.0
2946,6426,3480.0
7425,12914,5489.0
14090,14808,718.0
15049,20078,5029.0
20151121 _ SX3 _  200212,5,
0,220,220.0
1220,6955,5735.0
8707,9757,1050.0
12498,12921,423.0
14450,14827,377.0
